Bloque,Variable,Nombre_bloque,Nombre_variable,Descripcion_variable,Fuente,Unidad
2,2.130,DINAMISMO ECONÓMICO,Ratio de contratos por unidad productiva media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de unidades productivas de dicho municipio. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación empresarial por municipio,Fórmula de la media del ratio de contratos totales por unidad productiva del clúster de zona estadística,5
2,2.131,DINAMISMO ECONÓMICO,Ratio de paro por población activa media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro por municipio,Fórmula de la media del ratio de paro totales por población activa del clúster de zona estadística,5
2,2.132,DINAMISMO ECONÓMICO,Ratio de empleo por paro media del clúster de zona estadística,Número de personas empleadas partido por el número de demandas de empleo. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad vs paro,Fórmula de la media del ratio de empleo por paro del clúster de zona estadística,5
2,2.133,DINAMISMO ECONÓMICO,Ratio de contratos del sector primario por población activa media del clúster de zona estadística,Contratos totales pertenecientes a las ramas de actividad del sector primario de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación del sector primario por municipio,Fórmula de la media del ratio de contratos totales del sector primario por población activa del clúster de zona estadística,5
2,2.134,DINAMISMO ECONÓMICO,Ratio de empleados del sector primario por población activa media del clúster de zona estadística,Ocupados totales pertenecientes a las ramas de actividad del sector primario cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad del sector primario por municipio,Fórmula de la media del ratio de ocupados totales por población activa del clúster de zona estadística,5
2,2.135,DINAMISMO ECONÓMICO,Ratio de contratos del sector secundario por población activa media del clúster de zona estadística,Contratos totales pertenecientes a las ramas de actividad del sector secundario de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación del sector secundario por municipio,Fórmula de la media del ratio de contratos totales del sector secundario por población activa del clúster de zona estadística,5
2,2.136,DINAMISMO ECONÓMICO,Ratio de empleados del sector secundario por población activa media del clúster de zona estadística,Ocupados totales pertenecientes a las ramas de actividad del sector secundario cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad del sector secundario por municipio,Fórmula de la media del ratio de ocupados totales por población activa del clúster de zona estadística,5
2,2.137,DINAMISMO ECONÓMICO,Ratio de contratos del sector terciario por población activa media del clúster de zona estadística,Contratos totales pertenecientes a las ramas de actividad del sector terciario de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación del sector terciario por municipio,Fórmula de la media del ratio de contratos totales del sector terciario por población activa del clúster de zona estadística,5
2,2.138,DINAMISMO ECONÓMICO,Ratio de empleados del sector terciario por población activa media del clúster de zona estadística,Ocupados totales pertenecientes a las ramas de actividad del sector terciario cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad del sector terciario por municipio,Fórmula de la media del ratio de ocupados totales por población activa del clúster de zona estadística,5
2,2.139,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 15 y 19 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 15 y 19 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 15 y 19 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 15 y 19 años del clúster de zona estadística,5
2,2.140,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 15 y 19 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 15 y 19 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 15 y 19 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 15 y 19 años del clúster de zona estadística,5
2,2.141,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 15 y 19 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 15 y 19 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 15 y 19 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 15 y 19 años del clúster de zona estadística,5
2,2.142,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 20 y 24 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 20 y 24 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 20 y 24 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 20 y 24 años del clúster de zona estadística,5
2,2.143,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 20 y 24 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 20 y 24 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 20 y 24 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 20 y 24 años del clúster de zona estadística,5
2,2.144,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 20 y 24 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 20 y 24 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 20 y 24 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 20 y 24 años del clúster de zona estadística,5
2,2.145,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 25 y 29 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 25 y 29 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 25 y 29 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 25 y 29 años del clúster de zona estadística,5
2,2.146,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 25 y 29 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 25 y 29 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 25 y 29 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 25 y 29 años del clúster de zona estadística,5
2,2.147,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 25 y 29 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 25 y 29 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 25 y 29 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 25 y 29 años del clúster de zona estadística,5
2,2.148,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 30 y 34 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 30 y 34 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 30 y 34 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 30 y 34 años del clúster de zona estadística,5
2,2.149,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 30 y 34 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 30 y 34 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 30 y 34 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 30 y 34 años del clúster de zona estadística,5
2,2.150,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 30 y 34 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 30 y 34 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 30 y 34 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 30 y 34 años del clúster de zona estadística,5
2,2.151,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 35 y 39 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 35 y 39 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 35 y 39 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 35 y 39 años del clúster de zona estadística,5
2,2.152,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 35 y 39 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 35 y 39 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 35 y 39 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 35 y 39 años del clúster de zona estadística,5
2,2.153,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 35 y 39 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 35 y 39 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 35 y 39 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 35 y 39 años del clúster de zona estadística,5
2,2.154,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 40 y 44 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 40 y 44 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 40 y 44 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 40 y 44 años del clúster de zona estadística,5
2,2.155,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 40 y 44 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 40 y 44 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 40 y 44 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 40 y 44 años del clúster de zona estadística,5
2,2.156,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 40 y 44 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 40 y 44 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 40 y 44 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 40 y 44 años del clúster de zona estadística,5
2,2.157,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 45 y 49 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 45 y 49 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 45 y 49 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 45 y 49 años del clúster de zona estadística,5
2,2.158,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 45 y 49 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 45 y 49 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 45 y 49 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 45 y 49 años del clúster de zona estadística,5
2,2.159,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 45 y 49 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 45 y 49 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 45 y 49 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 45 y 49 años del clúster de zona estadística,5
2,2.160,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 50 y 54 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 50 y 54 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 50 y 54 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 50 y 54 años del clúster de zona estadística,5
2,2.161,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 50 y 54 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 50 y 54 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 50 y 54 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 50 y 54 años del clúster de zona estadística,5
2,2.162,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 50 y 54 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 50 y 54 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 50 y 54 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 50 y 54 años del clúster de zona estadística,5
2,2.163,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 55 y 59 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 55 y 59 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 55 y 59 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 55 y 59 años del clúster de zona estadística,5
2,2.164,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 55 y 59 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 55 y 59 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 55 y 59 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 55 y 59 años del clúster de zona estadística,5
2,2.165,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 55 y 59 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 55 y 59 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 55 y 59 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 55 y 59 años del clúster de zona estadística,5
2,2.166,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 60 y 64 años media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 60 y 64 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación entre 60 y 64 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 60 y 64 años del clúster de zona estadística,5
2,2.167,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 60 y 64 años media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 60 y 64 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad entre 60 y 64 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 60 y 64 años del clúster de zona estadística,5
2,2.168,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 60 y 64 años media del clúster de zona estadística,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 60 y 64 años. Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de paro entre 60 y 64 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 60 y 64 años del clúster de zona estadística,5
2,2.169,DINAMISMO ECONÓMICO,Ratio de unidades productivas por población activa media del clúster de zona estadística,Unidades productivas totales de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de disponibilidad empresarial por municipio,Fórmula de la media del ratio de unidades productivas totales por población activa del clúster de zona estadística,5
2,2.170,DINAMISMO ECONÓMICO,Ratio de contratos por población activa media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación por municipio,Fórmula de la media del ratio de contratos totales por población activa del clúster de densidad de población,5
2,2.171,DINAMISMO ECONÓMICO,Ratio de empleados por población activa media del clúster de densidad de población,Ocupados totales de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad por municipio,Fórmula de la media del ratio de ocupados totales por población activa del clúster de densidad de población,5
2,2.172,DINAMISMO ECONÓMICO,Ratio de contratos por unidad productiva media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de unidades productivas de dicho municipio. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación empresarial por municipio,Fórmula de la media del ratio de contratos totales por unidad productiva del clúster de densidad de población,5
2,2.173,DINAMISMO ECONÓMICO,Ratio de paro por población activa media del clúster de densidad de población,Demandas de empleo totales de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de paro por municipio,Fórmula de la media del ratio de paro totales por población activa del clúster de densidad de población,5
2,2.174,DINAMISMO ECONÓMICO,Ratio de empleo por paro media del clúster de densidad de población,Número de personas empleadas partido por el número de demandas de empleo. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad vs paro,Fórmula de la media del ratio de empleo por paro del clúster de densidad de población,5
2,2.175,DINAMISMO ECONÓMICO,Ratio de contratos del sector primario por población activa media del clúster de densidad de población,Contratos totales pertenecientes a las ramas de actividad del sector primario de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación del sector primario por municipio,Fórmula de la media del ratio de contratos totales del sector primario por población activa del clúster de densidad de población,5
2,2.176,DINAMISMO ECONÓMICO,Ratio de empleados del sector primario por población activa media del clúster de densidad de población,Ocupados totales pertenecientes a las ramas de actividad del sector primario cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad del sector primario por municipio,Fórmula de la media del ratio de ocupados totales por población activa del clúster de densidad de población,5
2,2.177,DINAMISMO ECONÓMICO,Ratio de contratos del sector secundario por población activa media del clúster de densidad de población,Contratos totales pertenecientes a las ramas de actividad del sector secundario de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación del sector secundario por municipio,Fórmula de la media del ratio de contratos totales del sector secundario por población activa del clúster de densidad de población,5
2,2.178,DINAMISMO ECONÓMICO,Ratio de empleados del sector secundario por población activa media del clúster de densidad de población,Ocupados totales pertenecientes a las ramas de actividad del sector secundario cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad del sector secundario por municipio,Fórmula de la media del ratio de ocupados totales por población activa del clúster de densidad de población,5
2,2.179,DINAMISMO ECONÓMICO,Ratio de contratos del sector terciario por población activa media del clúster de densidad de población,Contratos totales pertenecientes a las ramas de actividad del sector terciario de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación del sector terciario por municipio,Fórmula de la media del ratio de contratos totales del sector terciario por población activa del clúster de densidad de población,5
2,2.180,DINAMISMO ECONÓMICO,Ratio de empleados del sector terciario por población activa media del clúster de densidad de población,Ocupados totales pertenecientes a las ramas de actividad del sector terciario cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad del sector terciario por municipio,Fórmula de la media del ratio de ocupados totales por población activa del clúster de densidad de población,5
2,2.181,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 15 y 19 años media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 15 y 19 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación entre 15 y 19 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 15 y 19 años del clúster de densidad de población,5
2,2.182,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 15 y 19 años media del clúster de densidad de población,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 15 y 19 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad entre 15 y 19 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 15 y 19 años del clúster de densidad de población,5
2,2.183,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 15 y 19 años media del clúster de densidad de población,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 15 y 19 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de paro entre 15 y 19 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 15 y 19 años del clúster de densidad de población,5
2,2.184,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 20 y 24 años media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 20 y 24 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación entre 20 y 24 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 20 y 24 años del clúster de densidad de población,5
2,2.185,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 20 y 24 años media del clúster de densidad de población,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 20 y 24 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad entre 20 y 24 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 20 y 24 años del clúster de densidad de población,5
2,2.186,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 20 y 24 años media del clúster de densidad de población,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 20 y 24 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de paro entre 20 y 24 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 20 y 24 años del clúster de densidad de población,5
2,2.187,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 25 y 29 años media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 25 y 29 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación entre 25 y 29 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 25 y 29 años del clúster de densidad de población,5
2,2.188,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 25 y 29 años media del clúster de densidad de población,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 25 y 29 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad entre 25 y 29 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 25 y 29 años del clúster de densidad de población,5
2,2.189,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 25 y 29 años media del clúster de densidad de población,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 25 y 29 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de paro entre 25 y 29 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 25 y 29 años del clúster de densidad de población,5
2,2.190,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 30 y 34 años media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 30 y 34 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación entre 30 y 34 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 30 y 34 años del clúster de densidad de población,5
2,2.191,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 30 y 34 años media del clúster de densidad de población,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 30 y 34 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad entre 30 y 34 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 30 y 34 años del clúster de densidad de población,5
2,2.192,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 30 y 34 años media del clúster de densidad de población,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 30 y 34 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de paro entre 30 y 34 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 30 y 34 años del clúster de densidad de población,5
2,2.193,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 35 y 39 años media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 35 y 39 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación entre 35 y 39 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 35 y 39 años del clúster de densidad de población,5
2,2.194,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 35 y 39 años media del clúster de densidad de población,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 35 y 39 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad entre 35 y 39 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 35 y 39 años del clúster de densidad de población,5
2,2.195,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 35 y 39 años media del clúster de densidad de población,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 35 y 39 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de paro entre 35 y 39 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 35 y 39 años del clúster de densidad de población,5
2,2.196,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 40 y 44 años media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 40 y 44 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación entre 40 y 44 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 40 y 44 años del clúster de densidad de población,5
2,2.197,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 40 y 44 años media del clúster de densidad de población,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 40 y 44 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad entre 40 y 44 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 40 y 44 años del clúster de densidad de población,5
2,2.198,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 40 y 44 años media del clúster de densidad de población,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 40 y 44 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de paro entre 40 y 44 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 40 y 44 años del clúster de densidad de población,5
2,2.199,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 45 y 49 años media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 45 y 49 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación entre 45 y 49 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 45 y 49 años del clúster de densidad de población,5
2,2.200,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 45 y 49 años media del clúster de densidad de población,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 45 y 49 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de empleabilidad entre 45 y 49 años por municipio,Fórmula de la media del ratio de ocupados totales por población censada entre 45 y 49 años del clúster de densidad de población,5
2,2.201,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 45 y 49 años media del clúster de densidad de población,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 45 y 49 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de paro entre 45 y 49 años por municipio,Fórmula de la media del ratio de paro totales por población censada entre 45 y 49 años del clúster de densidad de población,5
2,2.202,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 50 y 54 años media del clúster de densidad de población,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 50 y 54 años. Media de valores de los municipios pertenecientes al clúster de densidad de población de ese municipio. Índice de contratación entre 50 y 54 años por municipio,Fórmula de la media del ratio de contratos totales por población censada entre 50 y 54 años del clúster de densidad de población,5
