referencia_codigo;gestor_codigo;gestor_descripcion;municipio_codigo;municipio_descripcion;localizacion_descripcion;parcela_descripcion;regimen_codigo;clase_codigo;uso_principal_codigo;urbanizacion_codigo;superficie_registrada;superficie_edificable;descripcion_español;descripcion_ingles;observaciones_español;observaciones_ingles;contacto_direccion;referencia_catastral_20;referencia_catastral_14;coordenada_x;coordenada_y;url_visor
022032Y;Y;Ayuntamiento de Boadilla del Monte;022;Boadilla del Monte;CL. DE LA COMUNIDAD DE MADRID Nº 66;SUR-7 (AH-32) LOS FRESNOS A/RU-3 RU-4/P81;V;URB;R;U;580;240;Suelo Urbano. Residencial Unifamiliar. Máx.1 viviendas.;Urban ground. Single Family Residential. Max. 1 houses.;;;Ayuntamiento de Boadilla del Monte. Servicio de Patrimonio. 916349300                  C/ Juan Carlos I, 42 - 28660;5165208VK2756N0001TD;5165208VK2756N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27022032Y%27&&share&&ZONE=430000,4485000,8
022033Y;Y;Ayuntamiento de Boadilla del Monte;022;Boadilla del Monte;CL. DE LA COMUNIDAD DE MADRID Nº 64;SUR-7 (AH-32) LOS FRESNOS A/RU-3 RU-4/P82;V;URB;R;U;552;240;Suelo Urbano. Residencial Unifamiliar. Máx.1 viviendas.;Urban ground. Single Family Residential. Max. 1 houses.;;;Ayuntamiento de Boadilla del Monte. Servicio de Patrimonio. 916349300                  C/ Juan Carlos I, 42 - 28660;5165207VK2756N0001LD;5165207VK2756N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27022033Y%27&&share&&ZONE=430000,4485000,8
176001Y;Y;Ayuntamiento de Villanueva de la Cañada;176;Villanueva de la Cañada;Avda. de la Sierra de Guadarrama, 22;"420-8 C del Plan Parcial del Sector 4 ""La Pasada""";V;URB;I;U;2004,81;1202,88;Suelo Urbano. Industrial;;;;Ana Isabel Almarza Pedrazuela Telefono: 918117300;4369811VK1746N0001BB;4369811VK1746N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27176001Y%27&&share&&ZONE=430000,4485000,8
104065Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Mar Cantábrico nº 89;S04 UH03 R27;V;URB;R;U;150,02;172,76;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar en Hilera del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Terraced Single Family , of the Partial Plan.;LOTE 1 reservado a Entidades Cooperativas;LOT 1 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;6236827VK5863N0001TU;6236827VK5863N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104065Y%27&&share&&ZONE=430000,4485000,8
022035Y;Y;Ayuntamiento de Boadilla del Monte;022;Boadilla del Monte;CL. DE LA  GENERALITAT VALENCIANA Nº 8 - CL. DE LA COMUNIDAD DE MURCIA Nº 2;SUR-7 (AH-32) LOS FRESNOS A/RU-4/P106;V;URB;R;U;4418;2400;Suelo Urbano. Residencial Unifamiliar. Máx.12 viviendas.;Urban ground. Single Family Residential. Max. 12 houses.;;;Ayuntamiento de Boadilla del Monte. Servicio de Patrimonio. 916349300                  C/ Juan Carlos I, 42 - 28660;5569101VK2756N0001KD;5569101VK2756N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27022035Y%27&&share&&ZONE=430000,4485000,8
022034Y;Y;Ayuntamiento de Boadilla del Monte;022;Boadilla del Monte;CL. DE LA GENERALITAT VALENCIANA Nº 4 - CL. DE LA COMUNIDAD DE LA RIOJA Nº 3;Nombre: SUR-7 (AH-32) LOS FRESNOS A/RU-4/P104;V;URB;R;U;2395;1200;Suelo Urbano. Residencial Unifamiliar. Máx.6 viviendas.;Urban ground. Single Family Residential. Max. 6 houses.;;;Ayuntamiento de Boadilla del Monte. Servicio de Patrimonio. 916349300                  C/ Juan Carlos I, 42 - 28660;5470202VK2757S0001YG;5470202VK2757S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27022034Y%27&&share&&ZONE=430000,4485000,8
104066Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Mar Cantábrico nº 87;S04 UH03 R28;V;URB;R;U;150,01;172,76;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar en Hilera del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Terraced Single Family , of the Partial Plan.;LOTE 1 reservado a Entidades Cooperativas;LOT 1 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;6236828VK5863N0001FU;6236828VK5863N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104066Y%27&&share&&ZONE=430000,4485000,8
104067Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Mar Cantábrico nº 85;S04 UH03 R29;V;URB;R;U;150,01;172,76;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar en Hilera del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Terraced Single Family , of the Partial Plan.;LOTE 1 reservado a Entidades Cooperativas;LOT 1 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;6236829VK5863N0001MU;6236829VK5863N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104067Y%27&&share&&ZONE=430000,4485000,8
104068Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Marte nº 2;S05 UA05 R1;V;URB;R;U;310,27;225;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 2 reservado a Entidades cooperativas;LOT 2 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5533701VK5853S0001XA;5533701VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104068Y%27&&share&&ZONE=430000,4485000,8
104069Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Marte nº 4;S05 UA05 R2;V;URB;R;U;309,48;225;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 2 reservado a Entidades cooperativas;LOT 2 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5533702VK5853S0001IA;5533702VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104069Y%27&&share&&ZONE=430000,4485000,8
104070Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Marte nº 6;S05 UA05 R3;V;URB;R;U;343,61;225;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 2 reservado a Entidades cooperativas;LOT 2 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5533703VK5853S0001JA;5533703VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104070Y%27&&share&&ZONE=430000,4485000,8
104071Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Marte nº 8;S05 UA05 R4;V;URB;R;U;343,82;225;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 2 reservado a Entidades cooperativas;LOT 2 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5533704VK5853S0001EA;5533704VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104071Y%27&&share&&ZONE=430000,4485000,8
104072Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Marte nº 10;S05 UA05 R5;V;URB;R;U;343,63;225;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 2 reservado a Entidades cooperativas;LOT 2 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5533705VK5853S0001SA;5533705VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104072Y%27&&share&&ZONE=430000,4485000,8
104073Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Marte nº 12;S05 UA05 R6;V;URB;R;U;343,58;225;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 2 reservado a Entidades cooperativas;LOT 2 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5533706VK5853S0001ZA;5533706VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104073Y%27&&share&&ZONE=430000,4485000,8
104074Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Saturno nº 2;S05 UA07 R1;V;URB;R;U;446,32;280;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 3 reservado a Entidades Cooperativas;LOT 3 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5632401VK5853S0001BA;5632401VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104074Y%27&&share&&ZONE=430000,4485000,8
104075Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Saturno nº 4;S05 UA07 R2;V;URB;R;U;402,8;280;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 3 reservado a Entidades Cooperativas;LOT 3 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5632402VK5853S0001YA;5632402VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104075Y%27&&share&&ZONE=430000,4485000,8
104076Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Saturno nº 6;S05 UA07 R3;V;URB;R;U;402,8;280;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 3 reservado a Entidades Cooperativas;LOT 3 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5632403VK5853S0001GA;5632403VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104076Y%27&&share&&ZONE=430000,4485000,8
104077Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Saturno nº 8;S05 UA07 R4;V;URB;R;U;402,8;280;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 3 reservado a Entidades Cooperativas;LOT 3 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5632404VK5853S0001QA;5632404VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104077Y%27&&share&&ZONE=430000,4485000,8
104078Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Saturno nº 10;S05 UA07 R5;V;URB;R;U;402,8;280;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 3 reservado a Entidades Cooperativas;LOT 3 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5632405VK5853S0001PA;5632405VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104078Y%27&&share&&ZONE=430000,4485000,8
104079Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Saturno nº 12;S05 UA07 R6;V;URB;R;U;402,8;280;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 3 reservado a Entidades Cooperativas;LOT 3 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5632406VK5853S0001LA;5632406VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104079Y%27&&share&&ZONE=430000,4485000,8
000584I;I;AGENCIA DE VIVIENDA SOCIAL;079;Madrid;C/ Lucano 14 MADRID;75007;V;URB;R;U;288,75;1050;Suelo Urbano. Residecial colectiva.;Urban ground. Collective residence;Residencial Libre Colectiva. Dada de baja en 2016 se recupera alta en septiembre 2022 con su licitación;;Tf.-91 580 96 81 C/ BASÍLICA 23. ÁREA DE PATRIMONIO;8269115VK4786G0001LO;8269115VK4786G;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000584I%27&&share&&ZONE=430000,4485000,8
106008Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M3-1;V;URB;T;U;2675,5;4682,13;Suelo Urbano. Uso terciario.;Urban ground. Tertiary.;;;Héctor Barriga Mozo   916240362;3155804VK3535N0001QD;3155804VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106008Y%27&&share&&ZONE=430000,4485000,8
106009Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M3-2;V;URB;T;U;2675,5;4682,13;Suelo Urbano. Uso terciario.;Urban ground. Tertiary.;;;Héctor Barriga Mozo   916240362;3155803VK3535N0001GD;3155803VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106009Y%27&&share&&ZONE=430000,4485000,8
106010Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A2;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257525VK3535N0001AD;3257525VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106010Y%27&&share&&ZONE=430000,4485000,8
106011Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A14;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257537VK3535N0001MD;3257537VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106011Y%27&&share&&ZONE=430000,4485000,8
104080Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Saturno nº 14;S05 UA07 R7;V;URB;R;U;402,8;280;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 3 reservado a Entidades Cooperativas;LOT 3 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5632407VK5853S0001TA;5632407VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104080Y%27&&share&&ZONE=430000,4485000,8
104081Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Saturno nº 16;S05 UA07 R8;V;URB;R;U;402,8;280;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 3 reservado a Entidades Cooperativas;LOT 3 reserved for Cooperative Entities;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;5632408VK5853S0001FA;5632408VK5853S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104081Y%27&&share&&ZONE=430000,4485000,8
106012Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A15;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257538VK3535N0001OD;3257538VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106012Y%27&&share&&ZONE=430000,4485000,8
106013Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A16;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257539VK3535N0001KD;3257539VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106013Y%27&&share&&ZONE=430000,4485000,8
104082Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Lope de Vega nº 10;S08 UA01 R5;V;URB;R;U;308,17;222,58;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 7 Acceso libre;LOT 7 Free access;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;6636205VK5863N0001SU;6636205VK5863N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104082Y%27&&share&&ZONE=430000,4485000,8
104083Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Lope de Vega nº 12;S08 UA01 R6;V;URB;R;U;308,17;222,58;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 7 Acceso libre;LOT 7 Free access;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;6636206VK5863N0001ZU;6636206VK5863N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104083Y%27&&share&&ZONE=430000,4485000,8
104084Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Lope de Vega nº 14;S08 UA01 R7;V;URB;R;U;308,17;222,58;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 7 Acceso libre;LOT 7 Free access;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;6636207VK5863N0001UU;6636207VK5863N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104084Y%27&&share&&ZONE=430000,4485000,8
106014Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A17;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257540VK3535N0001MD;3257540VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106014Y%27&&share&&ZONE=430000,4485000,8
106015Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A18;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257541VK3535N0001OD;3257541VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106015Y%27&&share&&ZONE=430000,4485000,8
106016Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A19;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257542VK3535N0001KD;3257542VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106016Y%27&&share&&ZONE=430000,4485000,8
104085Y;Y;Ayto. Paracuellos del Jarama;104;Paracuellos de Jarama;C/ Lope de Vega nº 16;S08 UA01 R8;V;URB;R;U;308,17;222,58;Suelo Urbano. Residencial Unifamiliar. Ordenanza: Unifamiliar Aislada, Grado 1, del Plan Parcial;Urban land plot. Single Family Residential. Ordinance: Detached Single Family House, Grade 1, of the Partial Plan.;LOTE 7 Acceso libre;LOT 7 Free access;Ayto. Paracuellos del Jarama  916580001 Departamento de Contratación.;6636208VK5863N0001HU;6636208VK5863N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27104085Y%27&&share&&ZONE=430000,4485000,8
106017Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A20;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257543VK3535N0001RD;3257543VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106017Y%27&&share&&ZONE=430000,4485000,8
106018Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A25;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257504VK3535N0001FD;3257504VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106018Y%27&&share&&ZONE=430000,4485000,8
106019Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A26;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257505VK3535N0001MD;3257505VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106019Y%27&&share&&ZONE=430000,4485000,8
106020Y;Y;Ayuntamiento de Parla;106;Parla;"UE-1 PAU-5 ""SECTOR INDUSTRIAL""";1-M4-A27;V;URB;I;U;400;480;Suelo Urbano.  Uso industrial.;Urban ground. Industry.;;;Héctor Barriga Mozo   916240362;3257506VK3535N0001OD;3257506VK3535N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27106020Y%27&&share&&ZONE=430000,4485000,8
